,Checking Status,Duration,Credit History,Purpose,Credit Amount,Saving Status,Employment,Installment Commitment,Other Parties,Residence Since,Property Magnitude,Age,Other Payment Plans,Housing,Existing Credits,Job,Num Dependents,Own Telephone,Foreign Worker,Gender,Marriage
203,0,12,existing paid,retraining,902,100,7,4,none,4,life insurance,21,none,rent,1,skilled,1,No telephone,Foreign,male,mar/wid
204,0,12,critical/other existing credit,new car,1495,100,10,4,none,1,real estate,38,none,own,2,unskilled resident,2,No telephone,Foreign,male,single
205,0,30,critical/other existing credit,used car,10623,100,10,3,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
206,0,12,critical/other existing credit,furniture/equipment,1935,100,10,4,none,4,real estate,43,none,own,3,skilled,1,Having telephone,Foreign,male,single
207,200,12,critical/other existing credit,domestic appliance,1424,100,7,4,none,3,life insurance,26,none,own,1,skilled,1,No telephone,Foreign,male,single
208,0,24,existing paid,business,6568,100,4,2,none,2,car,21,stores,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
209,0,12,existing paid,used car,1413,1500,7,3,none,2,life insurance,55,none,own,1,skilled,1,No telephone,Not foreign,male,single
210,0,9,critical/other existing credit,radio/tv,3074,0,4,1,none,2,real estate,33,none,own,2,skilled,2,No telephone,Foreign,male,single
211,0,36,existing paid,radio/tv,3835,0,10,2,none,4,real estate,45,none,own,1,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
212,0,27,no credits/all paid,business,5293,100,unemployed,2,none,4,life insurance,50,stores,own,2,skilled,1,Having telephone,Foreign,male,single
213,1000,30,delayed previously,business,1908,100,10,4,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
214,0,36,critical/other existing credit,radio/tv,3342,0,10,4,none,2,car,51,none,own,1,skilled,1,Having telephone,Foreign,male,single
215,200,6,critical/other existing credit,retraining,932,0,7,1,none,3,life insurance,39,none,own,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
216,0,18,no credits/all paid,business,3104,100,7,3,none,1,life insurance,31,bank,own,1,skilled,1,Having telephone,Foreign,male,single
217,1000,36,existing paid,radio/tv,3913,100,4,2,none,2,real estate,23,none,own,1,skilled,1,Having telephone,Foreign,male,single
218,0,24,existing paid,furniture/equipment,3021,100,4,2,none,2,real estate,24,none,rent,1,unskilled resident,1,No telephone,Foreign,male,div/sep
219,0,10,existing paid,new car,1364,100,4,2,none,4,car,64,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
220,200,12,existing paid,radio/tv,625,100,0,4,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
221,0,12,existing paid,education,1200,0,4,4,none,4,life insurance,23,bank,rent,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
222,0,12,existing paid,radio/tv,707,100,4,4,none,2,real estate,30,bank,own,2,skilled,1,No telephone,Foreign,male,single
223,0,24,delayed previously,business,2978,0,4,4,none,4,real estate,32,none,own,2,skilled,2,Having telephone,Foreign,male,single
224,0,15,existing paid,used car,4657,100,4,3,none,2,car,30,none,own,1,skilled,1,Having telephone,Foreign,male,single
225,0,36,no credits/all paid,repairs,2613,100,4,4,none,2,car,27,none,own,2,skilled,1,No telephone,Foreign,male,single
226,200,48,existing paid,radio/tv,10961,1500,7,1,co applicant,2,no known property,27,bank,own,2,skilled,1,Having telephone,Foreign,male,single
227,0,12,existing paid,furniture/equipment,7865,100,10,4,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
228,0,9,existing paid,radio/tv,1478,100,7,4,none,2,car,22,none,own,1,skilled,1,No telephone,Foreign,male,single
229,0,24,existing paid,furniture/equipment,3149,100,0,4,none,1,no known property,22,bank,for free,1,skilled,1,No telephone,Foreign,male,single
230,1000,36,existing paid,radio/tv,4210,100,4,4,none,2,car,26,none,own,1,skilled,1,No telephone,Foreign,male,single
231,0,9,existing paid,new car,2507,1000,10,2,none,4,no known property,51,none,for free,1,unskilled resident,1,No telephone,Foreign,male,single
232,0,12,existing paid,radio/tv,2141,500,7,3,none,1,no known property,35,none,own,1,skilled,1,No telephone,Foreign,male,single
233,200,18,existing paid,radio/tv,866,100,4,4,guarantor,2,real estate,25,none,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
234,0,4,critical/other existing credit,radio/tv,1544,100,7,2,none,1,real estate,42,none,own,3,unskilled resident,2,No telephone,Foreign,male,single
235,0,24,existing paid,radio/tv,1823,100,unemployed,4,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,No telephone,Foreign,male,single
236,200,6,existing paid,new car,14555,0,unemployed,1,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,Having telephone,Foreign,male,single
237,200,21,existing paid,business,2767,500,10,4,none,2,car,61,bank,rent,2,unskilled resident,1,No telephone,Foreign,male,div/sep
238,0,12,critical/other existing credit,radio/tv,1291,100,4,4,none,2,life insurance,35,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
239,0,30,existing paid,radio/tv,2522,100,10,1,guarantor,3,life insurance,39,none,own,1,skilled,2,No telephone,Foreign,male,single
240,0,24,existing paid,new car,915,0,10,4,none,2,car,29,bank,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
241,0,6,existing paid,radio/tv,1595,100,7,3,none,2,life insurance,51,none,own,1,skilled,2,No telephone,Foreign,male,single
242,0,48,no credits/all paid,used car,4605,100,10,3,none,4,no known property,24,none,for free,2,skilled,2,No telephone,Foreign,male,single
243,0,12,critical/other existing credit,business,1185,100,4,3,none,2,real estate,27,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
244,0,12,all paid,retraining,3447,1000,4,4,none,3,real estate,35,none,own,1,unskilled resident,2,No telephone,Foreign,female,div/dep/mar
245,0,24,existing paid,business,1258,100,7,4,none,1,real estate,25,none,own,1,skilled,1,Having telephone,Foreign,male,single
246,0,12,critical/other existing credit,radio/tv,717,100,10,4,none,4,real estate,52,none,own,3,skilled,1,No telephone,Foreign,male,single
247,0,6,no credits/all paid,new car,1204,500,4,4,none,1,no known property,35,bank,rent,1,skilled,1,No telephone,Not foreign,male,single
248,1000,24,existing paid,furniture/equipment,1925,100,4,2,none,2,real estate,26,none,own,1,skilled,1,No telephone,Foreign,male,single
249,0,18,existing paid,radio/tv,433,100,unemployed,3,co applicant,4,real estate,22,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
250,0,6,critical/other existing credit,new car,666,1500,7,3,none,4,real estate,39,none,own,2,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
251,1000,12,existing paid,furniture/equipment,2251,100,4,1,none,2,car,46,none,own,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
252,200,30,existing paid,new car,2150,100,4,4,guarantor,2,no known property,24,bank,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
253,0,24,delayed previously,furniture/equipment,4151,500,4,2,none,3,life insurance,35,none,own,2,skilled,1,No telephone,Foreign,male,single
254,200,9,existing paid,furniture/equipment,2030,0,7,2,none,1,car,24,none,own,1,skilled,1,Having telephone,Foreign,male,single
255,200,60,delayed previously,radio/tv,7418,0,4,1,none,1,real estate,27,none,own,1,unskilled resident,1,No telephone,Foreign,male,single
256,0,24,critical/other existing credit,radio/tv,2684,100,4,4,none,2,real estate,35,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
257,0,12,all paid,radio/tv,2149,100,4,4,none,1,no known property,29,none,for free,1,skilled,1,No telephone,Foreign,male,div/sep
258,0,15,existing paid,used car,3812,500,0,1,none,4,car,23,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
259,0,11,critical/other existing credit,radio/tv,1154,500,unemployed,4,none,4,real estate,57,none,own,3,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
260,0,12,existing paid,furniture/equipment,1657,100,4,2,none,2,real estate,27,none,own,1,skilled,1,No telephone,Foreign,male,single
261,0,24,existing paid,radio/tv,1603,100,10,4,none,4,car,55,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
262,0,18,critical/other existing credit,new car,5302,100,10,2,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
263,0,12,critical/other existing credit,education,2748,100,10,2,none,4,no known property,57,bank,for free,3,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
264,0,10,critical/other existing credit,new car,1231,100,10,3,none,4,real estate,32,none,own,2,unskilled resident,2,No telephone,Not foreign,male,single
265,200,15,existing paid,radio/tv,802,100,10,4,none,3,car,37,none,own,1,skilled,2,No telephone,Foreign,male,single
266,0,36,critical/other existing credit,business,6304,0,10,4,none,4,real estate,36,none,own,2,skilled,1,No telephone,Foreign,male,single
267,0,24,existing paid,radio/tv,1533,100,0,4,none,3,car,38,stores,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
268,0,14,existing paid,new car,8978,100,10,1,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Not foreign,male,div/sep
269,0,24,existing paid,radio/tv,999,0,10,4,none,2,car,25,none,own,2,skilled,1,No telephone,Foreign,male,single
270,0,18,existing paid,new car,2662,0,7,4,none,3,life insurance,32,none,own,1,skilled,1,No telephone,Not foreign,male,single
271,0,12,critical/other existing credit,furniture/equipment,1402,1000,7,3,none,4,car,37,none,rent,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
272,200,48,all paid,new car,12169,0,unemployed,4,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
273,200,48,existing paid,radio/tv,3060,100,7,4,none,4,real estate,28,none,own,2,skilled,1,No telephone,Foreign,male,single
274,0,30,existing paid,repairs,11998,100,0,1,none,1,no known property,34,none,own,1,unskilled resident,1,Having telephone,Foreign,male,div/sep
275,0,9,existing paid,radio/tv,2697,100,4,1,none,2,real estate,32,none,own,1,skilled,2,No telephone,Foreign,male,single
276,0,18,critical/other existing credit,radio/tv,2404,100,4,2,none,2,car,26,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
277,0,12,existing paid,furniture/equipment,1262,0,10,2,none,4,life insurance,49,none,own,1,unskilled resident,1,Having telephone,Foreign,male,div/sep
278,0,6,existing paid,furniture/equipment,4611,100,0,1,none,4,life insurance,32,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
279,0,24,existing paid,radio/tv,1901,500,4,4,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
280,0,15,critical/other existing credit,used car,3368,1500,10,3,none,4,no known property,23,none,rent,2,skilled,1,Having telephone,Foreign,male,single
281,0,12,existing paid,furniture/equipment,1574,100,4,4,none,2,real estate,50,none,own,1,skilled,1,No telephone,Foreign,male,single
282,1000,18,all paid,radio/tv,1445,0,7,4,none,4,car,49,bank,own,1,unskilled resident,1,No telephone,Foreign,male,single
283,0,15,critical/other existing credit,furniture/equipment,1520,0,10,4,none,4,life insurance,63,none,own,1,skilled,1,No telephone,Foreign,male,single
284,200,24,critical/other existing credit,new car,3878,500,0,4,none,2,car,37,none,own,1,skilled,1,Having telephone,Foreign,male,div/sep
285,0,47,existing paid,new car,10722,100,0,1,none,1,real estate,35,none,own,1,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
286,0,48,existing paid,used car,4788,100,7,4,none,3,life insurance,26,none,own,1,skilled,2,No telephone,Foreign,male,single
287,200,48,delayed previously,other,7582,500,unemployed,2,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
288,200,12,existing paid,radio/tv,1092,100,4,4,guarantor,4,real estate,49,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
289,0,24,delayed previously,radio/tv,1024,100,0,4,none,4,real estate,48,stores,own,1,skilled,1,No telephone,Foreign,male,mar/wid
290,0,12,existing paid,business,1076,100,4,2,none,2,real estate,26,none,own,1,skilled,1,Having telephone,Not foreign,male,mar/wid
291,200,36,existing paid,used car,9398,100,0,1,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,mar/wid
292,0,24,critical/other existing credit,used car,6419,100,10,2,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,Having telephone,Foreign,female,div/dep/mar
293,1000,42,critical/other existing credit,used car,4796,100,10,4,none,4,no known property,56,none,for free,1,skilled,1,No telephone,Foreign,male,single
294,0,48,critical/other existing credit,business,7629,0,10,4,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,No telephone,Foreign,male,div/sep
295,200,48,existing paid,furniture/equipment,9960,100,0,1,none,2,car,26,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
296,0,12,existing paid,used car,4675,0,0,1,none,4,car,20,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
297,0,10,existing paid,new car,1287,0,10,4,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,No telephone,Not foreign,male,single
298,0,18,existing paid,furniture/equipment,2515,100,4,3,none,4,real estate,43,none,own,1,skilled,1,Having telephone,Foreign,male,single
299,200,21,critical/other existing credit,furniture/equipment,2745,1500,7,3,none,2,car,32,none,own,2,skilled,1,Having telephone,Foreign,male,single
300,0,6,existing paid,new car,672,100,unemployed,1,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,Having telephone,Foreign,female,div/dep/mar
301,200,36,no credits/all paid,radio/tv,3804,100,4,4,none,1,car,42,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
302,1000,24,critical/other existing credit,new car,1344,0,7,4,none,2,real estate,37,bank,own,2,unskilled resident,2,No telephone,Foreign,male,single
303,0,10,critical/other existing credit,new car,1038,100,7,4,co applicant,3,life insurance,49,none,own,2,skilled,1,Having telephone,Foreign,male,single
304,0,48,critical/other existing credit,new car,10127,1000,4,2,none,2,no known property,44,bank,for free,1,skilled,1,No telephone,Foreign,male,single
305,0,6,existing paid,furniture/equipment,1543,1500,4,4,none,2,real estate,33,none,own,1,skilled,1,No telephone,Foreign,male,div/sep
306,0,30,existing paid,used car,4811,0,7,2,none,4,life insurance,24,stores,rent,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
307,0,12,existing paid,radio/tv,727,500,0,4,none,3,no known property,33,none,own,1,unskilled resident,1,Having telephone,Foreign,male,mar/wid
308,200,8,existing paid,furniture/equipment,1237,100,4,3,none,4,real estate,24,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
309,200,9,existing paid,new car,276,100,4,4,none,4,real estate,22,none,rent,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
310,200,48,existing paid,other,5381,0,unemployed,3,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,Having telephone,Foreign,male,single
311,0,24,existing paid,furniture/equipment,5511,500,4,4,none,1,car,25,stores,own,1,skilled,1,No telephone,Foreign,male,single
312,1000,24,existing paid,furniture/equipment,3749,100,0,2,none,4,car,26,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
313,200,12,existing paid,new car,685,100,7,2,none,3,car,25,bank,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
314,1000,4,existing paid,new car,1494,0,0,1,none,2,real estate,29,none,own,1,unskilled resident,2,No telephone,Not foreign,male,single
315,0,36,all paid,furniture/equipment,2746,100,10,4,none,4,car,31,bank,own,1,skilled,1,No telephone,Foreign,male,single
316,0,12,existing paid,furniture/equipment,708,100,4,2,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,No telephone,Foreign,male,single
317,200,24,existing paid,furniture/equipment,4351,0,4,1,none,4,life insurance,48,none,own,1,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
318,0,12,critical/other existing credit,education,701,100,4,4,none,2,car,32,none,own,2,skilled,1,No telephone,Foreign,male,single
319,0,15,delayed previously,furniture/equipment,3643,100,10,1,none,4,life insurance,27,none,own,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
320,200,30,critical/other existing credit,new car,4249,100,unemployed,4,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,No telephone,Foreign,male,mar/wid
321,0,24,existing paid,radio/tv,1938,100,0,4,none,3,life insurance,32,none,own,1,skilled,1,No telephone,Foreign,male,div/sep
322,0,24,existing paid,used car,2910,100,7,2,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
323,0,18,existing paid,furniture/equipment,2659,1500,4,4,none,2,car,28,none,own,1,skilled,1,No telephone,Foreign,male,single
324,0,18,critical/other existing credit,new car,1028,100,4,4,none,3,real estate,36,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
325,0,8,critical/other existing credit,new car,3398,100,7,1,none,4,real estate,39,none,own,2,unskilled resident,1,No telephone,Not foreign,male,single
326,0,12,critical/other existing credit,furniture/equipment,5801,0,10,2,none,4,life insurance,49,none,rent,1,skilled,1,Having telephone,Foreign,male,single
327,0,24,existing paid,new car,1525,1500,7,4,none,3,car,34,none,own,1,skilled,2,Having telephone,Foreign,female,div/dep/mar
328,1000,36,existing paid,radio/tv,4473,100,10,4,none,2,car,31,none,own,1,skilled,1,No telephone,Foreign,male,single
329,200,6,existing paid,radio/tv,1068,100,10,4,none,4,car,28,none,own,1,skilled,2,No telephone,Foreign,male,single
330,0,24,critical/other existing credit,used car,6615,100,unemployed,2,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
331,0,18,critical/other existing credit,education,1864,500,4,4,none,2,real estate,30,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
332,200,60,existing paid,new car,7408,500,0,4,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign,female,div/dep/mar
333,0,48,critical/other existing credit,used car,11590,500,4,2,none,4,car,24,bank,rent,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
334,0,24,no credits/all paid,furniture/equipment,4110,100,10,3,none,4,no known property,23,bank,rent,2,skilled,2,No telephone,Foreign,male,single
335,0,6,critical/other existing credit,furniture/equipment,3384,100,4,1,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,div/sep
336,200,13,existing paid,radio/tv,2101,100,0,2,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
337,0,15,existing paid,domestic appliance,1275,0,4,4,none,2,car,24,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
338,0,24,existing paid,furniture/equipment,4169,100,4,4,none,4,life insurance,28,none,own,1,skilled,1,No telephone,Foreign,male,single
339,200,10,existing paid,furniture/equipment,1521,100,4,4,none,2,car,31,none,own,1,unskilled resident,1,No telephone,Foreign,male,div/sep
340,200,24,critical/other existing credit,education,5743,100,0,2,none,4,no known property,24,none,for free,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
341,0,21,existing paid,furniture/equipment,3599,100,7,1,none,4,car,26,none,rent,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
342,200,18,existing paid,radio/tv,3213,1000,0,1,none,3,real estate,25,none,rent,1,skilled,1,No telephone,Foreign,male,mar/wid
343,200,18,existing paid,business,4439,100,10,1,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
344,1000,10,existing paid,new car,3949,100,0,1,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,No telephone,Foreign,male,single
345,0,15,critical/other existing credit,radio/tv,1459,100,4,4,none,2,car,43,none,own,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
346,200,13,critical/other existing credit,radio/tv,882,100,0,4,guarantor,4,real estate,23,none,own,2,skilled,1,No telephone,Foreign,male,single
347,200,24,existing paid,radio/tv,3758,1000,unemployed,1,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,No telephone,Foreign,female,div/dep/mar
348,0,6,delayed previously,business,1743,500,4,1,none,2,real estate,34,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
349,200,9,critical/other existing credit,education,1136,1500,10,4,none,3,no known property,32,none,for free,2,skilled,2,No telephone,Foreign,male,single
350,0,9,existing paid,domestic appliance,1236,100,0,1,none,4,real estate,23,none,rent,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
351,200,9,existing paid,furniture/equipment,959,100,4,1,none,2,car,29,none,own,1,skilled,1,No telephone,Not foreign,female,div/dep/mar
352,0,18,critical/other existing credit,used car,3229,0,unemployed,2,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
353,0,12,no credits/all paid,radio/tv,6199,100,4,4,none,2,life insurance,28,none,rent,2,skilled,1,Having telephone,Foreign,male,single
354,0,10,existing paid,education,727,1000,10,4,none,4,no known property,46,none,for free,1,skilled,1,Having telephone,Foreign,male,single
355,200,24,existing paid,new car,1246,100,0,4,none,2,real estate,23,stores,own,1,unskilled resident,1,No telephone,Foreign,male,single
356,0,12,critical/other existing credit,radio/tv,2331,0,10,1,co applicant,4,real estate,49,none,own,1,skilled,1,Having telephone,Foreign,male,single
357,0,36,delayed previously,radio/tv,4463,100,4,4,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
358,0,12,existing paid,radio/tv,776,100,4,4,none,2,real estate,28,none,own,1,skilled,1,No telephone,Foreign,male,mar/wid
359,0,30,existing paid,furniture/equipment,2406,100,7,4,none,4,real estate,23,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
360,200,18,existing paid,education,1239,0,4,4,none,4,no known property,61,none,for free,1,skilled,1,No telephone,Foreign,male,single
361,1000,12,existing paid,radio/tv,3399,0,10,2,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign,male,single
362,1000,12,delayed previously,new car,2247,100,4,2,none,2,car,36,stores,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
363,0,6,existing paid,furniture/equipment,1766,100,4,1,none,2,life insurance,21,none,rent,1,skilled,1,No telephone,Foreign,male,mar/wid
364,0,18,existing paid,furniture/equipment,2473,100,unemployed,4,none,1,car,25,none,own,1,unemp/unskilled non res,1,No telephone,Foreign,male,single
365,0,12,existing paid,business,1542,100,7,2,none,4,car,36,none,own,1,skilled,1,Having telephone,Foreign,male,single
366,0,18,critical/other existing credit,used car,3850,100,7,3,none,1,car,27,none,own,2,skilled,1,No telephone,Foreign,male,single
367,0,18,existing paid,furniture/equipment,3650,100,0,1,none,4,car,22,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
368,0,36,existing paid,furniture/equipment,3446,100,10,4,none,2,car,42,none,own,1,skilled,2,No telephone,Foreign,male,single
369,200,18,existing paid,furniture/equipment,3001,100,7,2,none,4,real estate,40,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
370,0,36,existing paid,new car,3079,0,4,4,none,4,real estate,36,none,own,1,skilled,1,No telephone,Foreign,male,single
371,0,18,critical/other existing credit,radio/tv,6070,100,10,3,none,4,car,33,none,own,2,skilled,1,Having telephone,Foreign,male,single
372,0,10,critical/other existing credit,furniture/equipment,2146,100,0,1,none,3,real estate,23,none,rent,2,skilled,1,No telephone,Foreign,female,div/dep/mar
373,0,60,critical/other existing credit,new car,13756,0,10,2,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
374,200,60,all paid,other,14782,500,10,3,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
375,0,48,all paid,business,7685,100,7,2,guarantor,4,car,37,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
376,0,18,delayed previously,radio/tv,2320,100,unemployed,2,none,3,real estate,34,none,own,2,skilled,1,No telephone,Foreign,male,mar/wid
377,0,7,delayed previously,radio/tv,846,0,10,3,none,4,no known property,36,none,for free,1,skilled,1,No telephone,Foreign,male,single
378,200,36,existing paid,new car,14318,100,10,4,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
379,0,6,critical/other existing credit,new car,362,500,4,4,none,4,car,52,none,own,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
380,0,20,existing paid,furniture/equipment,2212,0,7,4,none,4,car,39,none,own,1,skilled,1,Having telephone,Foreign,male,single
381,200,18,existing paid,used car,12976,100,unemployed,3,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
382,0,22,existing paid,new car,1283,0,7,4,none,4,life insurance,25,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
383,1000,12,existing paid,new car,1330,100,0,4,none,1,real estate,26,none,own,1,skilled,1,No telephone,Foreign,male,single
384,0,30,delayed previously,business,4272,500,4,2,none,2,life insurance,26,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
385,0,18,critical/other existing credit,radio/tv,2238,100,4,2,none,1,car,25,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
386,0,18,existing paid,radio/tv,1126,0,0,4,none,2,real estate,21,none,rent,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
387,200,18,critical/other existing credit,furniture/equipment,7374,100,unemployed,4,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
388,200,15,critical/other existing credit,business,2326,1000,4,2,none,4,car,27,bank,own,1,skilled,1,No telephone,Foreign,male,single
389,0,9,existing paid,business,1449,100,7,3,none,2,car,27,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
390,0,18,existing paid,new car,1820,100,4,2,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,mar/wid
391,200,12,existing paid,furniture/equipment,983,1500,0,1,none,4,real estate,19,none,rent,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
392,0,36,existing paid,new car,3249,100,7,2,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
393,0,6,critical/other existing credit,radio/tv,1957,100,7,1,none,4,car,31,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
394,0,9,critical/other existing credit,furniture/equipment,2406,100,unemployed,2,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign,male,single
395,200,39,delayed previously,education,11760,500,7,2,none,3,no known property,32,none,rent,1,skilled,1,Having telephone,Foreign,male,single
396,0,12,existing paid,furniture/equipment,2578,100,unemployed,3,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,No telephone,Foreign,female,div/dep/mar
397,0,36,critical/other existing credit,furniture/equipment,2348,100,4,3,none,2,life insurance,46,none,own,2,skilled,1,Having telephone,Foreign,male,mar/wid
398,200,12,existing paid,new car,1223,100,10,1,none,1,real estate,46,none,rent,2,skilled,1,No telephone,Foreign,male,div/sep
399,0,24,critical/other existing credit,radio/tv,1516,1500,4,4,none,1,real estate,43,none,own,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
400,0,18,existing paid,radio/tv,1473,100,0,3,none,4,real estate,39,none,own,1,skilled,1,Having telephone,Foreign,male,mar/wid
401,200,18,critical/other existing credit,business,1887,0,4,4,none,4,real estate,28,bank,own,2,skilled,1,No telephone,Foreign,male,mar/wid
402,0,24,delayed previously,business,8648,100,0,2,none,2,car,27,bank,own,2,skilled,1,Having telephone,Foreign,male,single
403,0,14,delayed previously,new car,802,100,4,4,none,2,car,27,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
404,200,18,delayed previously,new car,2899,0,10,4,none,4,car,43,none,own,1,skilled,2,No telephone,Foreign,male,single
405,200,24,existing paid,radio/tv,2039,100,0,1,none,1,life insurance,22,none,own,1,skilled,1,Having telephone,Foreign,male,mar/wid
406,0,24,critical/other existing credit,used car,2197,0,7,4,none,4,car,43,none,own,2,skilled,2,Having telephone,Foreign,male,single
